y,x1,x2,x3,x4,x5,x6,x7
0,5.954090645008723,-1.6509642491043897,0.5588647408956661,-1.0433385775222679,0.5284152343102028,R,B
1,0.940958036771995,-1.7603636845138724,0.9339681281911336,1.6705578708553475,0.4662626791906951,R,C
1,-3.5607253690294645,-2.5294646925082622,1.32131739352874,-2.644081077077018,0.47359296080905733,R,C
0,6.664147139863605,-2.7702505059160045,0.3818004223222208,3.289356034085474,0.11103554682338479,R,B
1,-2.069927896319097,-1.9723035285649893,0.9215758266936204,1.45975738873914,0.013734163092653011,R,A
1,5.952991075012327,-2.0956955343352104,1.5084815820448785,0.8153361112695919,0.21348337771446368,R,D
1,-0.1304910738514553,-2.095174994871105,0.6513721985010701,0.04775379630029682,0.4757770940752101,R,D
0,5.037183743623804,-2.0215726523625595,1.1779016938546776,0.7705078219218823,0.4941363562661263,R,D
1,-2.959756326490692,-1.7312533869087086,0.7546076179041414,0.6411719163880809,0.3383119759240578,R,C
0,1.7232827999574771,-2.516216332420729,1.2007154748532076,0.4876911938120495,0.11730110963979558,R,C
0,2.048355627808001,-2.0318021109142896,0.3994294621857629,1.5139362435137358,0.09572092699529874,AA,C
1,9.474491567309812,-1.8823502727515227,1.2852383428511123,-2.3349524205280163,0.4508075669002116,R,D
0,-1.4704044300309906,-2.7706188502066844,0.7251777431594341,-0.5735881756976465,0.04366946073079955,R,D
0,3.9360111359800305,-2.560756284002444,0.6046230288861975,0.1667507863049928,0.3218930560778385,R,D
0,4.26460628862089,-2.252922389756201,0.5125164770154184,2.8917257155981657,0.07575677638516358,R,C
0,4.483074342983758,-2.0454031995484563,0.6632864693384333,1.0982163406511538,0.31229731999950583,R,B
0,6.510354277305147,-1.953424102239051,0.28690592436365153,2.6369781581362686,0.15440597349530902,AA,A
1,-4.0732941049349,-2.1672238051572346,0.6895643342191136,-1.9275841248486034,0.5062061025305934,R,D
0,1.691494328868773,-2.1042981285314974,1.6553023380906813,1.616316555063105,0.04698409658590401,R,C
1,-6.052900885852209,-2.390962850507209,0.449322203599544,-1.9101644880103943,0.21438748223656595,R,C
0,4.142242015175474,-1.9426957555245568,0.43196088341729616,-1.0323197486280817,0.29852823812431856,R,B
0,6.873714298689794,-2.2205779870802105,0.5474425795713913,-1.4665108223460421,0.10205968792060077,R,B
0,6.469226418987757,-1.8646192123133314,0.8105118822045237,-0.613821143542212,0.3788404209334371,R,B
0,8.512539927692455,-2.164711646284939,0.3264607622499146,3.0814894851710766,0.10801779255735978,R,C
1,-0.23303827027129875,-1.1925813761667432,0.6321781250741483,-0.9663154133827266,0.46907771063866693,R,C
1,0.9513873174887144,-2.428858917675274,1.1074004794438335,0.5473612146820309,0.17146168816673035,R,C
1,-4.215887362470092,-3.007180559804829,0.07667917771005801,1.3720737282298876,0.23388177285832662,AA,C
